title,link,text
โรคติดเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ 2019 - กรมควบคุมโรค,https://ddc.moph.go.th/viralpneumonia/,"Call Center 1422 | สำหรับเจ้าหน้าที่. โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19).
‎กรมควบคุมโรค | วัคซีนโควิด 19 · ‎รายงานสถานการณ์ · ‎สื่อความรู้ · ‎มาตรการ/ข้อสั่งการ"
DDC OPENDATA Covid19 Thailand,https://covid19.ddc.moph.go.th/,"คำอธิบายบริการ, Content-Type, API URL. รายงานสถานการณ์ COVID-19 ประจำวัน, application/json, https://covid19.ddc.moph.go.th/api/Cases/today-cases-all."
ศูนย์ข้อมูล COVID-19 - Home | Facebook,https://www.facebook.com/informationcovid19/,"สถานการณ์โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ทั่วโลก วันพฤหัสบดีที่ 16 ธันวาคม 2564 เวลา 10.00 น. ยอดผู้ติดเชื้อรวม 272,469,550 ราย"
โควิด 19 อัปเดตสถานการณ์ โควิดวันนี้ ล่าสุด COVID-19 ศูนย์กลาง ...,https://covid-19.kapook.com/,โควิด 19 ศูนย์ข้อมูลกลาง ที่อัปเดตถูกต้องล่าสุดทุกวันของ โควิด วันนี้ เช็กข่าวโคโรน่าไวรัส COVID 19 ที่เรียกว่า โควิด 19 นั่นเอง จำนวนผู้ติดเชื้อ อาการโควิด
เช็คสถานการณ์ Covid-19 ได้ที่นี่,https://covid19.workpointnews.com/,"ประเทศไทย. ทั่วโลก. โรงพยาบาล. ความรู้สู้ COVID-19. ความคืบหน้าล่าสุด. FAQ.
‎ผู้ป่วยโรคมะเร็ง เสี่ยงติดโควิด-19... · ‎โควิด-19 ทำเด็กติดมือถือ เสี่ยง..."
แบบประเมินความเสี่ยงก่อนมาโรงพยาบาลต่อการติดเชื้อ COVID-19,https://covid19.rajavithi.go.th/,ข้อที่ 1 : ท่านเดินทางมาจากหรืออยู่อาศัยในพื้นที่ที่มีรายงานการติดเชื้อ ของโรคCOVID-19 ใน 1 เดือนที่ผ่านมา. ข้อที่ 1.1 : (ต่างประเทศ)ท่านได้เดินทางมากจากต่าง
สถานการณ์ โควิด-19 และการฉีดวัคซีน - Sanook,https://www.sanook.com/covid-19/,"ผู้รับวัคซีน โดส 2+63,520สะสม 43,297,863. กราฟสถิติผู้ติดเชื้อโควิด-19."
รายงาน COVID-19 ประจำวัน ข้อมูลประจำประเทศไทย - Open ...,https://data.go.th/dataset/covid-19-daily,"COVID-19 COVID19 สาธารณสุข โควิด โคโรน่า โรคติดต่อ. ระดับในการเข้าถึงข้อมูล, สาธารณะ. วันที่สร้าง metadata, 20 มีนาคม 2563. วันที่ปรับปรุง metadata, 14 ธันวาคม
วันที่สร้างไฟล์/ลิงก์ข้อมูลใน catalog: 27 ตุลาคม 2564
รูปแบบของไฟล์ชุดข้อมูล: application/vnd.openx...
วันที่ปรับปรุงไฟล์/ลิงก์ข้อมูลใน catalog: 14 ธันวาคม ...
รหัสทรัพยากรข้อมูล: 1c2f6045-c600-410a-995c-..."
ศูนย์บริหารสถานการณ์แพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 ...,https://www.moicovid.com/,สำนักงานปลัดกระทรวงมหาดไทย ถนนอัษฎางค์ เขตพระนคร กรุงเทพฯ 10200 โทรศัพท์: 0 - 2222 - 1141-55.
โรคติดเชื้อไวรัสโคโรนา (COVID-19) - แพทยสภา,https://tmc.or.th/covid19/,รายงานสถานการณ์ โควิด-19. ที่มา : กรมควบคุมโรค. Unexpected Error. An unexpected error occurred. If you continue to receive this error please contact your
